codmpio,plebi_yes_prop,total
05001,0.3649306834929993,694784
05002,0.35536057033177954,3647
05004,0.3723776223776224,572
05021,0.5567723342939481,1735
05030,0.3271585557299843,6370
05031,0.3431115767417496,3818
05034,0.3511492356757946,9093
05036,0.34801762114537443,1589
05038,0.3643410852713178,1935
05040,0.5911528150134048,2984
05042,0.37142857142857144,5495
05044,0.31565217391304345,1150
05045,0.5076713994492329,27961
05051,0.629219229457893,5866
05055,0.31476997578692495,2065
05059,0.2933723196881092,1026
05079,0.3127326880119136,13430
05086,0.424860853432282,1617
05088,0.35816167418957734,121850
05091,0.2896208825357365,1609
05093,0.33245120740985773,3023
05101,0.2916962384669979,5636
05107,0.6578440808469682,2078
05113,0.33712660028449504,1406
05120,0.6258741258741258,4004
05125,0.370625,1600
05129,0.35792149763106196,25961
05134,0.47762345679012347,1296
05138,0.39127764127764125,4884
05142,0.48206839032527105,1199
05145,0.4008468595624559,1417
05147,0.45401858007329754,11733
05148,0.33002985074626867,16750
05150,0.40347826086956523,1150
05154,0.4208789632250968,20911
05172,0.5101678502259522,12392
05190,0.35929731521378855,3017
05197,0.3386101973684211,4864
05206,0.3683193818415969,1553
05209,0.31344221105527637,3184
05212,0.3771905534237905,25279
05234,0.6115685467270482,4858
05237,0.25478535588180634,5381
05240,0.33977512297962054,2846
05250,0.4211436170212766,7520
05264,0.3238805970149254,2680
05266,0.35331065166186865,106988
05282,0.35055578427336354,4858
05284,0.5319465081723626,4038
05306,0.5323741007194245,1251
05308,0.35529617741464836,17135
05310,0.3521897810218978,2192
05313,0.38071625344352616,3630
05315,0.5144092219020173,1388
05318,0.2614158335584977,14804
05321,0.37779822140447716,3261
05347,0.42359249329758714,1492
05353,0.4019264448336252,1142
05360,0.3641767550718184,96563
05361,0.6509502044743806,4157
05364,0.35263387026556375,4594
05368,0.28372368811147347,3373
05376,0.2945175438596491,22800
05380,0.35918389147038404,18723
05390,0.41358275721838145,2459
05400,0.33882321689467393,7529
05411,0.34517203107658156,2703
05425,0.40916271721958924,1899
05440,0.30849327404739124,17767
05467,0.5216201423097975,1827
05475,0.9330434782608695,1150
05480,0.6092409240924093,3030
05483,0.3127735773975328,2513
05490,0.5831438127090302,7475
05495,0.5052164840897235,3834
05501,0.3689189189189189,740
05541,0.3752539242843952,5415
05543,0.7001287001287001,2331
05576,0.331841074426413,1787
05579,0.3079308817013735,9028
05585,0.573980875691998,3974
05591,0.25807278318810867,3902
05604,0.33137747974294496,3579
05607,0.30858869227449287,6951
05615,0.3004959092716202,47791
05628,0.3291032148900169,2364
05631,0.3662350084614819,27182
05642,0.31608730800323365,2474
05647,0.4150499706055262,1701
05649,0.45593285005723005,5242
05652,0.40317654245571166,1637
05656,0.36258992805755397,3475
05658,0.35174418604651164,1032
05659,0.6500728508984944,4118
05660,0.2442371020856202,3644
05664,0.25112535806847636,7331
05665,0.49686444766039556,4146
05667,0.35877862595419846,4061
05670,0.399910434393193,4466
05674,0.2724406835905094,6027
05679,0.34652812139205014,6063
05686,0.29027237354085605,10280
05690,0.3704335950836463,2929
05697,0.26376673797638855,12621
05736,0.32365499573014517,4684
05756,0.2495426665231895,9293
05761,0.4402441887767081,4259
05789,0.3448351168377375,4579
05790,0.5806613226452906,5988
05792,0.4089430894308943,1230
05809,0.3403669724770642,2180
05819,0.5584324702589223,1429
05837,0.5440635011715201,20913
05842,0.5210958904109589,1825
05847,0.4508867667121419,5864
05854,0.4741264927023441,2261
05856,0.3891786179921773,1534
05858,0.27381600435492653,1837
05861,0.3762002743484225,2916
05873,0.9506172839506173,2187
05885,0.3767241379310345,1160
05887,0.3101339238637562,9483
05890,0.3826879271070615,3512
05893,0.4419642857142857,5376
05895,0.47165021156558534,3545
08001,0.5696304241833252,256375
08078,0.7120886126384572,12549
08137,0.6145092460881935,2812
08141,0.6849044166117337,3034
08296,0.6127126654064272,8464
08372,0.6825714285714286,3500
08421,0.6355218855218855,3564
08433,0.5555905909062244,15857
08436,0.8320802005012531,1995
08520,0.6731535756154748,4265
08549,0.7273910214703969,1537
08558,0.7989525749199884,3437
08560,0.6254796623177283,3909
08573,0.6110396570203644,9330
08606,0.789223830999288,4213
08634,0.6334762275915822,5132
08638,0.7109033578580517,18077
08675,0.7450482478415439,1969
08685,0.7118230889778862,5743
08758,0.5843211906204032,57785
08770,0.7565897858319605,2428
08832,0.6697410429230224,2819
08849,0.7640091116173121,2195
13001,0.552763478272665,147441
13006,0.6805182493284879,6329
13030,0.5519662921348315,1424
13042,0.8666666666666667,1950
13052,0.6162493612672458,9785
13062,0.737467018469657,1516
13074,0.5176678445229682,2830
13140,0.576043068640646,3715
13160,0.7031074503931112,2671
13188,0.6967871485943775,2988
13212,0.7649301143583227,4722
13222,0.6467268623024831,1772
13244,0.5204748147217686,15922
13248,0.782350024789291,2017
13268,0.5997366688610928,1519
13300,0.49924471299093653,2648
13430,0.6123146668648508,26911
13433,0.6840572676534822,4121
13440,0.5851246775580395,2326
13442,0.7840044742729306,8940
13458,0.7870414483087185,2099
13468,0.621695969381653,8361
13473,0.45931198102016607,4215
13490,0.8289136013686912,1169
13549,0.6008488278092159,4948
13580,0.7599164926931107,1437
13600,0.6835094166283877,2177
13620,0.8610670892762811,1893
13647,0.6776034236804565,2804
13650,0.809049398090494,2409
13654,0.5885318210459988,6348
13655,0.6812162824914174,2039
13657,0.5957298677187283,8618
13667,0.6839141147483281,2841
13670,0.4702920443101712,5958
13673,0.7185457516339869,2448
13683,0.6374929418407679,1771
13688,0.3658469190384084,7238
13744,0.48001095290251916,3652
13760,0.8421052631578947,2242
13780,0.6300539083557951,2968
13810,0.5424710424710425,3108
13836,0.5954390194896524,9954
13838,0.6795123869445536,2543
13873,0.5982776089159068,1974
13894,0.8425006707807888,3727
15001,0.555235610962431,59038
15022,0.5021645021645021,693
15047,0.2809955803675273,4299
15051,0.449941792782305,1718
15087,0.441967717140661,2602
15090,0.6581632653061225,588
15092,0.5941605839416059,685
15097,0.42765273311897106,1866
15104,0.5601118359739049,1073
15106,0.6101036269430051,772
15109,0.42191780821917807,1460
15114,0.4702702702702703,370
15131,0.5715539947322212,1139
15135,0.518935516888434,977
15162,0.5902948402948403,1628
15172,0.4469214437367304,942
15176,0.47374262515333837,17119
15180,0.4782918149466192,1405
15183,0.37128072445019406,2319
15185,0.3893591293833132,1654
15187,0.5129032258064516,930
15189,0.44038929440389296,1233
15204,0.5696687653983028,3653
15212,0.5848348348348348,1332
15215,0.4272251308900524,955
15218,0.3648148148148148,1080
15223,0.5316541865214431,1469
15224,0.5403481012658228,1264
15226,0.4119448698315467,653
15232,0.5888157894736842,912
15236,0.39634146341463417,656
15238,0.47402392565091844,41211
15244,0.2917316692667707,1282
15248,0.34002006018054165,997
15272,0.6186002818224519,2129
15276,0.3892171344165436,1354
15293,0.46274217585692995,1342
15296,0.4164989939637827,1491
15299,0.4897564746810978,5174
15317,0.19334389857369255,631
15322,0.5021923414206373,3421
15325,0.5627450980392157,1530
15332,0.46179401993355484,1204
15362,0.4282380396732789,857
15367,0.616258218768679,1673
15368,0.36858316221765913,974
15377,0.4426719840478564,1003
15380,0.48973880597014924,1072
15401,0.7277486910994765,573
15403,0.30760986066452306,933
15407,0.5083042854213656,4877
15425,0.3757085020242915,1235
15442,0.7327632282202031,1871
15455,0.6317787418655098,3688
15464,0.2354685646500593,1686
15466,0.3695955369595537,1434
15469,0.501694393099199,6492
15476,0.5173347778981582,1846
15480,0.35454545454545455,2420
15491,0.49381640829123846,5741
15494,0.617056856187291,1794
15500,0.5330396475770925,1135
15507,0.4309835373575348,2369
15511,0.4749679075738126,779
15514,0.4543973941368078,1228
15516,0.5469413012729845,11312
15518,0.36,650
15522,0.4391371340523883,649
15531,0.6334860474802165,2401
15533,0.43419267299864317,737
15537,0.6427340608845491,1741
15542,0.3903243540406817,1819
15550,0.42116630669546434,463
15572,0.2976231964870705,14347
15580,0.3602941176470588,1768
15599,0.5256364288275368,2789
15600,0.47109826589595377,1730
15621,0.5048439181916039,929
15632,0.6129912663755459,3664
15638,0.52,1350
15646,0.48319241080635184,4849
15660,0.6104078762306611,711
15664,0.514689880304679,1838
15667,0.3530073074761102,1779
15673,0.32083696599825634,1147
15676,0.4659400544959128,1101
15681,0.308994708994709,1890
15686,0.5031847133757962,2198
15690,0.3808267370272647,1137
15693,0.41680085882984436,3726
15696,0.5977859778597786,1084
15720,0.48253557567917205,773
15723,0.5225464190981433,377
15740,0.3367965367965368,2310
15753,0.4123624047417443,3543
15755,0.3759505703422053,2104
15757,0.4751565762004175,2395
15759,0.48270357840567973,41974
15761,0.5910614525139665,895
15762,0.5200909780136467,1319
15763,0.32556093268807745,2273
15764,0.5019323671497584,2070
15774,0.6012006861063465,1166
15776,0.5342142520056631,2119
15778,0.464339908952959,1318
15790,0.5713391739674594,1598
15798,0.6181599518941672,1663
15804,0.6179934055581724,2123
15806,0.5095435684647303,3615
15808,0.5438898450946644,1162
15810,0.4903169014084507,1136
15814,0.47226962457337884,2344
15816,0.5336091003102379,967
15820,0.4029197080291971,1370
15822,0.3372216330858961,943
15832,0.7038167938931298,655
15835,0.6500559910414334,1786
15837,0.49341471249598456,3113
15839,0.5184404636459431,949
15842,0.4296361245067953,2281
15861,0.4669051878354204,3354
15879,0.4172749391727494,822
15897,0.6453900709219859,1410
17001,0.4803680186601011,154340
17013,0.2787491115849325,7035
17042,0.2994022660362209,11209
17050,0.3753280839895013,4191
17088,0.3892030848329049,3890
17174,0.35948852077884336,17205
17272,0.4160316976531545,3281
17380,0.3268821274783514,21133
17388,0.4189646831156265,2067
17433,0.3481932443047918,5092
17442,0.30040911747516075,1711
17444,0.3564939847778051,4073
17446,0.4657039711191336,831
17486,0.33857333531069256,6743
17495,0.4171270718232044,2172
17513,0.35078178110129166,4413
17524,0.4181410974244121,4465
17541,0.3018625561978163,6228
17614,0.40262669143008756,15076
17616,0.31298955613577023,3064
17653,0.3898809523809524,5376
17662,0.4205020920502092,6692
17665,0.41784037558685444,1491
17777,0.3054674616262844,7883
17867,0.40565118544982137,3079
17873,0.42117726657645466,17736
17877,0.26383551114527287,5204
19001,0.5779385020589896,95678
19022,0.777176852352623,3698
19050,0.8502196193265007,6830
19075,0.8211170903692707,5389
19100,0.6190419869899467,8455
19110,0.6858763810092565,6698
19130,0.6807745504840941,7230
19137,0.7594766856759476,8943
19142,0.7083433807571738,8294
19212,0.6678053952173401,8489
19256,0.55243759423689065,11938
19290,0.7112970711297071,2151
19300,0.6830870279146142,6090
19318,0.9066753078418665,6172
19355,0.7137018713701871,4649
19364,0.8288973384030418,3945
19392,0.5800338409475465,2955
19397,0.729483282674772,5264
19418,0.929472209248015,4282
19450,0.7340201357995786,4271
19455,0.6221686241610739,9536
19473,0.5692679975801573,6612
19513,0.7170530327087964,3149
19517,0.681283577755191,6887
19532,0.7016903806396693,8223
19533,0.6434108527131783,1548
19548,0.51588147516521,9382
19573,0.6493148587613872,13063
19585,0.6110645431684828,2386
19622,0.5645059786028949,3178
19693,0.7418032786885246,2684
19698,0.5625714862410012,29726
19701,0.6206624605678234,1268
19743,0.7258145363408521,7980
19760,0.6395163856188355,3143
19780,0.6314935064935064,6160
19785,0.7921787709497207,1790
19807,0.5361164223496919,9414
19809,0.9270636420919974,6348
19821,0.7950121654501217,8220
19824,0.7257840688315292,3603
19845,0.6682035519125683,5856
20001,0.5094871911543887,87908
20011,0.30140772405660377,27136
20013,0.4739232457800318,13211
20032,0.517428350116189,3873
20045,0.5930633347694959,4642
20060,0.5670197016285161,8781
20175,0.5292713967546929,6286
20178,0.5747984472977008,6698
20228,0.5783295101875591,7411
20238,0.6338051904280418,5934
20250,0.6303002166511916,6462
20295,0.4680046538685282,3438
20310,0.49151172190784154,1237
20383,0.502672367717798,3742
20400,0.5256859913348463,9694
20443,0.6002510197678067,3187
20517,0.5721680270754529,5023
20550,0.46349603671255735,4794
20570,0.6669272869429241,2558
20614,0.3539140022050717,4535
20621,0.569215876089061,6198
20710,0.37065637065637064,6734
20750,0.6001199040767387,5004
20770,0.3394173394173394,5698
20787,0.6550387596899225,2838
23001,0.47399345949713184,93265
23068,0.578910904808092,7217
23079,0.7106741573033708,5696
23090,0.7612456747404844,3468
23162,0.5044449216233626,23285
23168,0.7115869017632241,3970
23182,0.48646605171631635,13226
23189,0.6164617710867135,15211
23300,0.6410505836575876,4112
23350,0.6473590201582036,3919
23417,0.6656683599969672,26378
23419,0.7632720512290849,4841
23464,0.6706161137440758,4220
23466,0.5664127017955138,18769
23500,0.7781456953642384,5436
23555,0.567281286779129,15294
23570,0.6520635768665687,7487
23574,0.7327349331379374,5459
23580,0.7379581654193054,10422
23586,0.5051229508196722,3904
23660,0.6151580674023263,26824
23670,0.7106414672749278,10741
23672,0.6146892655367232,7080
23675,0.7888722622772412,7351
23678,0.5776464266523375,3722
23682,0.789795185052102,2783
23686,0.6594715629198388,11165
23807,0.6739351727832842,18665
23815,0.6416403017765879,8218
23855,0.6686615092687199,6851
25001,0.44145529080194723,3903
25019,0.38076923076923075,1820
25035,0.4431692783050099,4531
25040,0.40037726951190755,4241
25053,0.38202247191011235,3916
25086,0.4856278366111952,661
25095,0.521239954075775,871
25099,0.38684538653366585,3208
25120,0.6905923344947735,1435
25123,0.4810271041369472,3505
25126,0.4494068387997209,20062
25148,0.34646135623334323,3377
25151,0.36217194570135747,5525
25154,0.36792452830188677,2120
25168,0.49234863606121093,1503
25175,0.4942421483841602,43940
25178,0.3046448087431694,2928
25181,0.33375769149161894,4713
25183,0.3534811222722549,5774
25200,0.39668932899793086,6766
25214,0.45414025356576865,10096
25224,0.33688107357704766,2161
25245,0.43932708218422506,7252
25258,0.37863372093023256,1376
25260,0.31344038437223415,7909
25269,0.4009833553275723,46982
25279,0.2839132627332325,3966
25281,0.2166172106824926,2022
25286,0.43041104688503534,31140
25288,0.46962332928311057,1646
25290,0.4265515843685177,41941
25293,0.4620213433772756,1593
25295,0.3662332125346408,4691
25297,0.3351080488568744,3193
25299,0.4534005037783375,1191
25307,0.3641903742679628,33639
25312,0.45482866043613707,2247
25317,0.39932697700504766,3566
25320,0.3984944718889673,8502
25322,0.3477191413237925,4472
25324,0.5491803278688525,732
25326,0.3796816479400749,2136
25328,0.4816955684007707,1557
25335,0.2529585798816568,2028
25339,0.3574087862993299,1343
25368,0.5337837837837838,888
25372,0.392312040700961,1769
25377,0.5257210503659061,9292
25386,0.4946627299568476,8806
25394,0.5816084153376315,2947
25398,0.24675948151704272,2083
25402,0.44600852009631414,5399
25407,0.38353566009104706,2636
25426,0.41753424657534244,1825
25430,0.36783411744206307,28695
25436,0.48763657274295574,1739
25438,0.34344100197758737,3034
25473,0.4334263504086107,30102
25483,0.47192513368983957,748
25486,0.35733392777530093,4486
25488,0.5519557487159226,2531
25489,0.4072398190045249,1326
25491,0.5714285714285714,2191
25506,0.5581203627370157,1213
25513,0.4714068825910931,7904
25518,0.5110073382254836,1499
25524,0.5251594613749114,1411
25530,0.40019569471624267,3066
25535,0.5542978422355854,2827
25572,0.32332195676905573,4395
25580,0.46588486140724944,938
25592,0.290732889158086,1651
25594,0.31505102040816324,2352
25596,0.3556085918854415,2095
25599,0.49200446262551134,2689
25612,0.4447957839262187,3795
25645,0.5071428571428571,3360
25649,0.4650994575045208,2765
25653,0.4772727272727273,1364
25658,0.3553146642577537,3321
25662,0.44132135612865836,3451
25718,0.3424698795180723,3320
25736,0.3835051546391753,3880
25740,0.39062204575534126,10578
25743,0.4699074074074074,6480
25745,0.35016335016335015,3367
25754,0.46663148984819003,90969
25758,0.49540192578167264,9243
25769,0.30536633992357537,6019
25772,0.41283241874208526,4738
25777,0.3667731629392971,1565
25779,0.5004775549188156,2094
25781,0.34860681114551084,1615
25785,0.4398862713241267,7386
25793,0.2724584103512015,2705
25797,0.5363951473136915,2308
25799,0.41566437571592213,6984
25805,0.5159151193633952,1508
25807,0.6268796992481203,1064
25815,0.5023504273504273,4680
25817,0.40749241741126324,12199
25823,0.5336351875808538,1546
25839,0.3967730106343968,2727
25841,0.41934005499541704,2182
25843,0.3715558239601419,13247
25845,0.43872714962762355,2954
25851,0.33532934131736525,1837
25862,0.49503668536901163,2317
25867,0.5038167938931297,1441
25871,0.3261943986820428,607
25873,0.2849056603773585,5830
25875,0.3459394469340912,9149
25878,0.4755822689706987,3993
25885,0.4149364735048032,3227
25898,0.46563407550822844,2066
25899,0.4737050401583052,42955
11001,0.553857262740341,2570359
27001,0.7103288689432719,28522
27006,0.7448931116389549,2105
27025,0.9145166304009947,3217
27050,0.7775700934579439,2675
27073,0.8991262907069102,2518
27075,0.8157446808510638,2350
27077,0.902238314680711,3038
27099,0.9482262703739214,2086
27135,0.7150663544106167,1281
27150,0.9429824561403509,1368
27160,0.724400234055003,1709
27205,0.6866028708133971,3344
27245,0.5428271150814503,1903
27250,0.8922091782283885,2811
27361,0.6748985115020297,5912
27372,0.7795698924731183,744
27413,0.7981995498874719,2666
27425,0.9524866785079928,2252
