codmpio,year,selective_assasination_state_cnmh,selective_assasination_paramilitary_cnmh,selective_assasination_guerrilla_cnmh,terrorist_guerrilla_cnmh,terrorist_paramilitary_cnmh,property_damage_guerrilla_cnmh,property_damage_state_cnmh,property_damage_paramilitary_cnmh,forced_disappearence_state_cnmh,forced_disappearence_paramilitary_cnmh,forced_disappearence_guerrilla_cnmh,massacre_paramilitary_cnmh,massacre_state_cnmh,massacre_guerrilla_cnmh,mine_guerrilla_cnmh,mine_paramilitary_cnmh,mine_state_cnmh,recruitment_paramilitary_cnmh,recruitment_guerrilla_cnmh,recruitment_state_cnmh,kidnapping_guerrilla_cnmh,kidnapping_paramilitary_cnmh,kidnapping_state_cnmh,sexual_paramilitary_cnmh,sexual_guerrilla_cnmh,sexual_state_cnmh,mpio,selective_assasination_fal_pos,forced_disappearence_fal_pos,massacre_fal_pos,sexual_fal_pos
05001,1957,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05001,1962,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05001,1963,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05001,1964,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05001,1965,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05001,1971,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05001,1973,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05001,1974,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05001,1976,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05001,1977,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05001,1978,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05001,1979,NA,1,NA,NA,NA,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05001,1980,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05001,1981,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
05001,1982,2,12,2,NA,NA,NA,NA,NA,3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05001,1983,4,11,6,0,NA,0,NA,NA,1,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05001,1984,4,7,4,NA,NA,0,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05001,1985,NA,11,5,0,NA,0,NA,NA,NA,NA,4,NA,13,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
05001,1986,6,9,13,NA,NA,0,NA,NA,1,4,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05001,1987,2,21,23,NA,NA,0,NA,NA,NA,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
05001,1988,2,26,40,NA,NA,0,NA,NA,5,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,2,NA,NA,NA,NA,NA,NA
05001,1989,NA,59,60,NA,NA,0,NA,1,7,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA
05001,1990,10,88,71,NA,NA,0,NA,NA,6,6,1,9,9,14,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA
05001,1991,4,117,68,NA,NA,0,NA,NA,3,9,15,4,NA,50,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05001,1992,3,140,132,NA,NA,3,NA,NA,7,1,5,9,NA,12,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA
05001,1993,10,177,94,NA,NA,0,NA,NA,10,6,5,11,NA,8,NA,NA,NA,1,NA,NA,NA,1,NA,2,1,NA,MEDELLIN,1,NA,NA,NA
05001,1994,5,181,68,NA,NA,0,0,NA,1,9,4,13,NA,12,NA,NA,NA,NA,NA,NA,4,NA,NA,3,2,NA,MEDELLIN,1,NA,NA,NA
05001,1995,NA,279,60,23,NA,0,NA,NA,4,9,1,10,NA,8,NA,NA,NA,NA,NA,NA,3,NA,NA,2,4,NA,NA,NA,NA,NA,NA
05001,1996,1,298,54,1,NA,0,NA,NA,1,23,1,37,NA,NA,NA,NA,NA,NA,NA,NA,17,3,NA,1,2,NA,NA,NA,NA,NA,NA
05001,1997,3,464,63,0,NA,0,NA,0,NA,17,2,43,NA,8,1,NA,NA,1,NA,NA,22,NA,NA,3,3,NA,NA,NA,NA,NA,NA
05001,1998,4,576,39,4,NA,0,NA,0,NA,29,2,35,NA,NA,1,NA,NA,1,NA,NA,22,10,NA,6,NA,NA,NA,NA,NA,NA,NA
05001,1999,3,659,47,9,NA,0,NA,0,NA,19,1,59,NA,NA,NA,NA,NA,1,NA,NA,16,7,NA,4,4,1,NA,NA,NA,NA,NA
05001,2000,NA,694,52,NA,NA,0,NA,0,10,38,13,26,NA,NA,NA,NA,NA,1,NA,NA,37,3,NA,11,2,NA,NA,NA,NA,NA,NA
05001,2001,2,870,50,NA,NA,0,NA,0,11,41,8,55,NA,NA,1,NA,NA,2,1,NA,23,7,NA,11,NA,NA,NA,NA,NA,NA,NA
05001,2002,16,905,72,NA,NA,0,0,4,7,104,4,83,13,13,NA,NA,NA,4,8,NA,56,5,2,11,18,1,MEDELLIN,3,NA,NA,NA
05001,2003,10,653,22,NA,NA,0,NA,0,5,80,3,35,NA,NA,1,NA,NA,43,8,NA,8,9,NA,11,3,NA,MEDELLIN,1,NA,NA,NA
05001,2004,23,309,14,NA,NA,0,NA,0,2,53,2,NA,NA,NA,NA,NA,NA,7,5,NA,3,4,NA,9,3,NA,MEDELLIN,7,2,NA,NA
05001,2005,20,113,4,NA,NA,NA,NA,NA,2,30,2,NA,NA,NA,NA,NA,NA,8,1,NA,NA,3,NA,1,NA,NA,MEDELLIN,2,NA,NA,NA
05001,2006,18,95,8,NA,NA,0,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,MEDELLIN,4,NA,NA,NA
05001,2007,9,NA,3,NA,NA,0,NA,NA,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,MEDELLIN,1,NA,NA,NA
05001,2008,6,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
05001,2009,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
05001,2010,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05001,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
05001,2012,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05001,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
05001,2014,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
05001,2015,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05001,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
05001,2020,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05001,2021,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05002,1986,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05002,1990,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05002,1991,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05002,1993,NA,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05002,1994,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05002,1996,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05002,1997,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05002,1998,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05002,1999,NA,10,2,NA,NA,NA,NA,0,NA,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
05002,2000,NA,10,2,NA,NA,0,NA,NA,NA,5,2,6,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,2,NA,NA,NA,NA,NA,NA
05002,2001,NA,29,5,NA,NA,0,NA,0,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2,NA,2,NA,NA,NA,NA,NA,NA,NA
05002,2002,NA,12,NA,NA,NA,0,NA,NA,NA,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
05002,2003,NA,11,5,NA,NA,0,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05002,2004,NA,5,1,NA,NA,NA,NA,0,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,ABEJORRAL,NA,1,NA,NA
05002,2005,5,5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05002,2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05002,2007,10,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ABEJORRAL,NA,1,NA,NA
05002,2008,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ABEJORRAL,1,NA,NA,NA
05002,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
05004,1984,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05004,1986,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05004,1988,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05004,1991,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05004,1992,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05004,1994,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05004,1995,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05004,1996,NA,4,NA,NA,NA,NA,NA,0,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05004,1997,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05004,1998,NA,6,6,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05004,1999,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05004,2000,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
05004,2001,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05004,2003,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05004,2004,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05004,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05004,2006,6,3,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ABRIAQUI,3,NA,NA,NA
05004,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
05021,1989,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05021,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
