codmpio,year,Hom_Guerr_any_jep,Hom_Other_jep,Hom_Param_jep,Hom_State_jep,Hom_Multiple_jep,Hom_total_jep,Kid_Guerr_any_jep,Kid_Other_jep,Kid_Param_jep,Kid_Multiple_jep,Kid_State_jep,Kid_total_jep,Rec_Guerr_any_jep,Rec_Param_jep,Rec_Multiple_jep,Rec_Other_jep,Rec_State_jep,Rec_total_jep,Dis_Guerr_any_jep,Dis_Multiple_jep,Dis_Other_jep,Dis_Param_jep,Dis_State_jep,Dis_total_jep
5001,1985,5,4,16,1,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,3
5001,1986,6,7,25,6,2,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,7,1,12
5001,1987,13,4,34,3,17,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,8,1,16
5001,1988,19,10,64,2,5,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,14,4,24
5001,1989,44,23,120,1,7,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,8,6,20
5001,1990,77,70,172,14,7,340,3,2,1,NA,NA,6,1,NA,NA,NA,NA,1,7,1,NA,13,6,27
5001,1991,121,97,227,12,10,467,6,2,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,7,2,1,12,3,25
5001,1992,151,125,243,24,12,555,NA,NA,2,NA,NA,2,1,NA,NA,NA,NA,1,6,2,1,7,7,23
5001,1993,98,184,277,11,6,576,2,NA,NA,NA,NA,2,3,1,NA,NA,NA,4,7,3,8,9,6,33
5001,1994,76,155,281,13,8,533,2,NA,NA,NA,NA,2,2,NA,1,NA,NA,3,3,1,2,14,1,21
5001,1995,77,157,370,5,8,617,4,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,1,2,24,1,33
5001,1996,60,120,418,4,13,615,14,43,4,3,NA,64,NA,NA,NA,1,NA,1,11,3,2,28,1,45
5001,1997,62,100,571,5,18,756,21,24,5,NA,NA,50,3,2,1,NA,NA,6,6,6,2,32,NA,46
5001,1998,53,73,655,3,14,798,21,14,8,2,NA,45,5,11,NA,NA,1,17,3,2,2,34,NA,41
5001,1999,60,90,718,4,14,886,13,26,7,1,NA,47,8,5,1,NA,NA,14,7,3,1,26,NA,37
5001,2000,46,63,834,3,16,962,35,18,10,5,NA,68,8,6,NA,NA,NA,14,11,11,1,53,6,82
5001,2001,50,58,990,3,13,1114,24,26,11,1,NA,62,2,8,NA,NA,NA,10,13,5,4,79,11,112
5001,2002,69,38,1017,39,21,1184,52,33,11,3,1,100,10,14,2,NA,NA,26,9,15,NA,118,5,147
5001,2003,30,38,722,17,18,825,11,24,53,7,3,98,18,19,NA,NA,NA,37,8,5,4,91,5,113
5001,2004,23,450,331,27,8,839,7,19,13,1,2,42,8,12,1,NA,NA,21,7,1,6,60,3,77
5001,2005,17,406,130,30,5,588,2,9,8,NA,5,24,5,11,NA,NA,NA,16,4,4,1,39,6,54
5001,2006,11,86,107,30,8,242,3,6,1,NA,NA,10,5,3,NA,NA,NA,8,4,2,1,44,6,57
5001,2007,11,57,68,31,3,170,NA,4,NA,NA,NA,4,19,2,NA,NA,NA,21,6,4,2,19,9,40
5001,2008,7,64,84,27,6,188,3,4,NA,NA,NA,7,1,NA,NA,NA,NA,1,NA,2,4,32,3,41
5001,2009,8,75,122,17,1,223,NA,6,4,NA,NA,10,2,NA,NA,NA,NA,2,2,2,8,86,1,99
5001,2010,9,107,81,21,3,221,NA,8,1,NA,NA,9,1,2,NA,1,NA,4,4,2,4,115,1,126
5001,2011,7,167,67,18,2,261,1,9,1,NA,NA,11,2,1,NA,1,NA,4,2,NA,7,76,NA,85
5001,2012,4,94,63,17,NA,178,NA,8,1,NA,1,10,NA,1,NA,8,NA,9,2,NA,3,20,1,26
5001,2013,1,116,30,9,1,157,1,7,NA,NA,NA,8,NA,NA,2,NA,1,3,NA,NA,4,1,NA,5
5001,2014,NA,44,4,10,NA,58,NA,4,NA,NA,NA,4,NA,2,NA,1,NA,3,NA,NA,2,NA,NA,2
5001,2015,2,53,15,10,NA,80,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,3
5001,2016,NA,57,17,11,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,3
5001,2017,12,92,55,NA,NA,159,1,7,1,NA,NA,9,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA
